,date,000037.OF,003039.OF,003040.OF,003223.OF,003819.OF,004020.OF,004027.OF,004028.OF,006670.OF,006869.OF,006970.OF,007396.OF,007598.OF,007778.OF,013449.OF,median,ma4
201,2022-11-28,2.729407089557813,2.1304163101123623,2.1630614284701535,4.664354807583681,2.772141189359939,1.0206958487424862,2.370186703278531,2.307368748138657,2.9783266143752094,2.7938332532271057,5.082164690598244,2.5982644085415263,2.4177458799862896,0.0,2.7127405126728386,2.5982644085415263,2.326926475642363
202,2022-11-29,2.7633361320089422,2.174089314844553,0.0,4.158343953019269,2.665554311795606,1.5218817070501465,2.3390365937082374,2.2792989071475493,2.935540375011397,2.5416004551783073,6.027088337164652,2.5974697803766955,2.3532062020367155,2.860886774031125,2.7502859655353555,2.5974697803766955,2.3940278975412417
203,2022-11-30,2.61364578967461,2.117146133469403,2.107011299955312,4.062687757369908,2.6281255185747194,1.552165784730438,2.2606873398473,2.3504998101725967,2.8496670714342227,2.5058442033628268,6.383983623893897,2.4797674218126353,2.2765845147341013,2.945577823735226,2.59571145906648,2.5058442033628268,2.4488499506476358
204,2022-12-01,2.688625186999027,2.1095655662722175,2.099995337390281,4.042852390313675,2.5885947576983885,1.2058303468347902,2.2402902366112643,2.185740960521257,2.8418781209537567,2.4980868746263316,5.23034695303266,2.5622056500616184,2.2690704128876242,2.762060297373701,2.677003295890957,2.5622056500616184,2.565946010585667
205,2022-12-02,2.6256721453839362,2.018486448086197,1.9766674766471866,3.4944113950569955,2.3003839251131133,1.1485048846330659,2.0230335239007124,1.9669827324451343,2.8354361823954246,2.3751686458271113,5.228193226164326,2.4569196553025527,2.173142801061194,2.680143338268965,2.6115381458334648,2.3751686458271113,2.510172069907063
206,2022-12-05,2.575817353921477,0.0,2.000083186484664,3.757203052846767,2.572250649604074,1.2175729775953528,2.2748809840475817,2.250630948459202,3.058124125437211,3.303987819812063,5.71793398031927,2.43084557084615,2.3514183777124575,2.8253133090612796,2.554771660266444,2.554771660266444,2.4994975398795
207,2022-12-06,2.5730900484274533,0.0,1.9976444085773404,3.754202754784584,2.5699351153585184,1.2166790227779138,2.272696097790821,2.248510870751381,2.9514857970343007,2.7144706405652794,6.38347378243005,2.4282814366059706,2.3493779224885034,2.8226111546361086,2.5520513693098206,2.5520513693098206,2.5110493313662485
208,2022-12-07,2.5123184429100265,0.0,2.0709077197593375,3.1412262448967407,2.1609006780431192,1.0554448264932255,1.8921688965820238,1.8224070612834844,2.8014543700493553,2.6051636182413813,6.0097781517058335,2.502706236381704,2.303692901195014,2.5073446333710003,2.4903856515789164,2.4903856515789164,2.493094331745573
209,2022-12-08,2.469016450788975,1.7895696190793555,1.7703290294099212,3.5526510709990586,2.1031187436009007,1.0685978349622443,1.849979722266906,1.7813448913489254,2.8303075886881524,2.538054449156327,5.731948993933913,2.069459207123455,2.180197048524837,2.460983316793062,2.4481165061489296,2.180197048524837,2.4443514324200044
210,2022-12-09,2.5719496801677515,1.9418751086192445,1.9224003463250905,3.6289082929231866,2.034063557817641,1.0572429241224162,1.8465566567337286,1.7773359248167693,2.641156322357613,2.3476008336933254,5.917349994995433,2.255381704866881,2.1482972638534155,2.407363854693922,2.553416148683908,2.255381704866881,2.369503943570114
211,2022-12-12,2.5722441136762066,2.0335965354851306,0.0,3.889517932377703,2.668992823908579,1.2356544921284693,2.340601270136722,2.3113696657554303,2.939173291928552,2.744150908245787,5.426520692102204,2.489995385909543,2.378931389673217,2.8669665027246722,2.5526103253178065,2.5526103253178065,2.3696436825721103
212,2022-12-13,2.566481671503867,0.0,1.9549202070427214,3.623600300110737,2.0310985468222613,1.0558562032695908,1.843954608074082,1.9395596755950324,2.647872437657623,2.389469550915534,6.374932040572781,2.2613600736639734,2.1329350122635877,2.404007567193865,2.5479501436296,2.2613600736639734,2.3123872880933747
213,2022-12-14,2.549568516020998,1.8214778976482238,1.823576522916811,3.266277882946886,2.323250799471598,1.0695073518015135,1.9172957130019093,1.8519758437570248,2.7274390398887127,2.350782911054904,5.874616765679727,2.1382283405274576,2.1859949304314688,2.6653331777532276,2.5330398405580574,2.323250799471598,2.348150725830065
214,2022-12-15,2.6462935104560352,1.9432783619122496,1.9461139823625007,3.750770753627241,2.423324344986274,1.1601753071724872,2.0886620737688504,2.047171632734234,2.638287570351746,2.379478034328712,5.949086378198703,2.2525465359687,2.124204973964811,2.735515458999478,2.6323554227707024,2.379478034328712,2.3791748081955224
215,2022-12-16,2.541532682787726,1.841272247714294,1.8276240171682507,3.777134994651747,2.2551632670790234,1.1096843943209576,1.896899125848353,1.9686854310710071,2.7991877560973726,2.5959703597128296,5.571624353208637,2.08332014170507,2.311491027762818,2.6425215426504867,2.523171829134733,2.311491027762818,2.3188949838067754
216,2022-12-19,2.5580235895975028,1.9376182383951477,1.9440937229171558,0.0,2.370979623201411,1.508875457061336,2.1266868387820708,2.067110646138861,2.6580188050946596,2.265970589520145,5.033856457794961,2.3704615269627576,2.1231478024469816,2.6534246279931692,2.5319213526241384,2.265970589520145,2.3200476127708183
